Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,Price_inr,Touchscreen,IPS_Panel,PPI
Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,147366,0,1,227.0
Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,1.34,98883,0,0,128.0
HP,Notebook,Intel Core i5,8,Intel HD,No OS,1.86,63250,0,0,141.0
Apple,Ultrabook,Intel Core i7,16,AMD Radeon,Mac OS,1.83,279120,0,1,221.0
Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,198396,0,1,227.0
Acer,Notebook,AMD A-Series,4,AMD Radeon,Linux/Android/Chrome OS,2.1,44000,0,0,100.0
Apple,Ultrabook,Intel Core i7,16,Intel Iris,Mac OS,2.04,235397,0,1,221.0
Apple,Ultrabook,Intel Core i5,8,Intel HD,Mac OS,1.34,127457,0,0,128.0
Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Linux/Android/Chrome OS,1.3,164450,0,0,157.0
Acer,Ultrabook,Intel Core i5,8,Intel UHD,Linux/Android/Chrome OS,1.6,84700,0,1,157.0
HP,Notebook,Intel Core i5,4,Intel HD,No OS,1.86,43329,0,0,100.0
HP,Notebook,Intel Core i3,4,Intel HD,No OS,1.86,37949,0,0,141.0
Apple,Ultrabook,Intel Core i7,16,AMD Radeon,Mac OS,1.83,268397,0,1,221.0
Dell,Notebook,Intel Core i3,4,AMD Radeon,Linux/Android/Chrome OS,2.2,54879,0,0,141.0
Apple,Ultrabook,Other Intel Processor,8,Intel HD,Mac OS,0.92,138864,0,1,226.0
Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,167040,0,1,227.0
Dell,Notebook,Intel Core i7,8,AMD Radeon,Linux/Android/Chrome OS,2.2,81950,0,0,141.0
Apple,Ultrabook,Intel Core i7,16,AMD Radeon,Mac OS,1.83,314380,0,1,221.0
Lenovo,Notebook,Intel Core i3,8,Nvidia GeForce,No OS,2.2,54890,0,0,141.0
Dell,Ultrabook,Intel Core i5,8,Intel UHD,Linux/Android/Chrome OS,1.22,107690,1,1,166.0
